,OneStop,CopCo,MECOL2W1,MECOL2W2,IITBHGC,PoTeC,SBSAT,MECOL2,OneStopL2,MECOL1
LOG_MICH_L_distribution,,,,,,,,,"{2.94444: 23.6, 2.99573: 23.0, 2.89037: 16.2, 2.83321: 14.9, 2.70805: 6.1, 2.77259: 5.4, 2.63906: 3.4, 2.56495: 2.7, -1.0: 2.0, 2.30259: 1.4, 2.48491: 0.7, 2.19722: 0.7}",
LOG_MICH_L_overall,,,,,,,,,2.790±0.56 (-1.00-3.00),
LOG_MICH_L_per_item,,,,,,,,,2.797±0.06 (2.72-2.88),
LOG_MICH_L_per_participant,,,,,,,,,2.790±0.57 (-1.00-3.00),
LOG_MICH_R_col,,,,,,,,,log_MPT_reading_score,
LOG_MICH_R_overall,,,,,,,,,2.753±0.58 (-1.00-3.00),
LOG_MICH_R_per_item,,,,,,,,,2.763±0.07 (2.65-2.85),
LOG_MICH_R_per_participant,,,,,,,,,2.753±0.58 (-1.00-3.00),
LOG_MICH_VR_col,,,,,,,,,log_MPT_vocab_read,
LOG_MICH_VR_overall,,,,,,,,,3.680±0.69 (-1.00-3.91),
LOG_MICH_VR_per_item,,,,,,,,,3.690±0.07 (3.61-3.78),
LOG_MICH_VR_per_participant,,,,,,,,,3.680±0.70 (-1.00-3.91),
LOG_MICH_V_col,,,,,,,,,log_MPT_vocabulary_score,
LOG_MICH_V_distribution,,,,,,,,,"{3.3673: 21.6, 3.4012: 16.2, 3.29584: 15.5, 3.3322: 13.5, 3.2581: 8.1, 3.21888: 6.1, 3.17805: 4.7, 3.13549: 3.4, 3.09104: 3.4, -1.0: 2.0, 2.94444: 1.4, 3.04452: 1.4, 2.99573: 1.4, 2.77259: 0.7, 1.60944: 0.7}",
LOG_MICH_V_overall,,,,,,,,,3.193±0.63 (-1.00-3.40),
LOG_MICH_V_per_item,,,,,,,,,3.202±0.06 (3.12-3.29),
LOG_MICH_V_per_participant,,,,,,,,,3.193±0.63 (-1.00-3.40),
LOG_MICH_col,,,,,,,,,log_michtest_score,
LOG_MICH_overall,,,,,,,,,4.464±0.16 (3.22-4.61),
LOG_MICH_per_item,,,,,,,,,4.463±0.02 (4.42-4.49),
LOG_MICH_per_participant,,,,,,,,,4.464±0.16 (3.22-4.61),
MICH_GVR_col,,,,,,,,,MPT_grammar_vocab_read,
MICH_GVR_overall,,,,,,,,,68.276±13.50 (-1.00-80.00),
MICH_GVR_per_item,,,,,,,,,68.381±1.02 (67.04-70.14),
MICH_GVR_per_participant,,,,,,,,,68.277±13.54 (-1.00-80.00),
MICH_G_col,,,,,,,,,MPT_grammar_score,
MICH_G_overall,,,,,,,,,24.980±5.43 (-1.00-30.00),
MICH_G_per_item,,,,,,,,,25.022±0.54 (24.12-25.90),
MICH_G_per_participant,,,,,,,,,24.980±5.45 (-1.00-30.00),
MICH_LG_col,,,,,,,,,MPT_listen_grammar,
MICH_LG_overall,,,,,,,,,42.391±8.46 (-1.00-50.00),
MICH_LG_per_item,,,,,,,,,42.452±0.49 (41.93-43.38),
MICH_LG_per_participant,,,,,,,,,42.392±8.48 (-1.00-50.00),
MICH_L_col,,,,,,,,,MPT_listening_score,
MICH_L_distribution,,,,,,,,,"{19.0: 23.6, 20.0: 23.0, 18.0: 16.2, 17.0: 14.9, 15.0: 6.1, 16.0: 5.4, 14.0: 3.4, 13.0: 2.7, -1.0: 2.0, 10.0: 1.4, 12.0: 0.7, 9.0: 0.7}",
MICH_L_overall,,,,,,,,,17.391±3.45 (-1.00-20.00),
MICH_L_per_item,,,,,,,,,17.412±0.34 (16.97-18.08),
MICH_L_per_participant,,,,,,,,,17.392±3.46 (-1.00-20.00),
MICH_R_col,,,,,,,,,MPT_reading_score,
MICH_R_overall,,,,,,,,,16.926±3.79 (-1.00-20.00),
MICH_R_per_item,,,,,,,,,16.965±0.42 (16.17-17.57),
MICH_R_per_participant,,,,,,,,,16.926±3.80 (-1.00-20.00),
MICH_VR_col,,,,,,,,,MPT_vocab_read,
MICH_VR_overall,,,,,,,,,43.276±8.49 (-1.00-50.00),
MICH_VR_per_item,,,,,,,,,43.342±0.53 (42.66-44.24),
MICH_VR_per_participant,,,,,,,,,43.277±8.51 (-1.00-50.00),
MICH_V_col,,,,,,,,,MPT_vocabulary_score,
MICH_V_distribution,,,,,,,,,"{29.0: 21.6, 30.0: 16.2, 27.0: 15.5, 28.0: 13.5, 26.0: 8.1, 25.0: 6.1, 24.0: 4.7, 23.0: 3.4, 22.0: 3.4, -1.0: 2.0, 19.0: 1.4, 21.0: 1.4, 20.0: 1.4, 16.0: 0.7, 5.0: 0.7}",
MICH_V_overall,,,,,,,,,26.331±5.11 (-1.00-30.00),
MICH_V_per_item,,,,,,,,,26.359±0.36 (25.83-26.89),
MICH_V_per_participant,,,,,,,,,26.331±5.13 (-1.00-30.00),
MICH_col,,,,,,,,,michtest_score,
MICH_overall,,,,,,,,,87.790±10.90 (25.00-100.00),
MICH_per_item,,,,,,,,,87.712±1.50 (85.12-89.79),
MICH_per_participant,,,,,,,,,87.791±10.93 (25.00-100.00),
QUESTION_LABEL_col,same_critical_span,,,,,,,,,
QUESTION_LABEL_distribution,"{2: 33.3, 0: 33.3, 1: 33.3}",,,,,,,,,
QUESTION_LABEL_overall,1.000±0.82 (0.00-2.00),,,,,,,,,
QUESTION_LABEL_per_item,1.000±0.00 (1.00-1.03),,,,,,,,,
QUESTION_LABEL_per_participant,1.000±0.06 (0.89-1.07),,,,,,,,,
RCS_col,,RCS_score,,,,,,,,
RCS_overall,,2.964±2.62 (-1.00-7.10),,,,,,,,
RCS_per_item,,2.946±0.65 (1.43-4.90),,,,,,,,
RCS_per_participant,,2.835±2.46 (-1.00-7.10),,,,,,,,
RC_col,is_correct,,,,,RC,RC,,is_correct,
RC_distribution,"{1: 81.2, 0: 18.8}",,,,,"{1.0: 64.8, 0.0: 35.2}","{1: 56.3, 0: 43.7}",,"{1: 74.3, 0: 25.7}",
RC_overall,0.812±0.39 (0.00-1.00),,,,,0.648±0.48 (0.00-1.00),0.563±0.50 (0.00-1.00),,0.743±0.44 (0.00-1.00),
RC_per_item,0.812±0.12 (0.33-1.00),,,,,0.647±0.13 (0.37-0.86),0.563±0.04 (0.51-0.61),,0.741±0.14 (0.32-1.00),
RC_per_participant,0.812±0.09 (0.48-0.98),,,,,0.648±0.13 (0.36-0.91),0.563±0.15 (0.15-0.85),,0.743±0.14 (0.15-0.98),
READER_TYPE_col,,dyslexia,,,,,,,,
READER_TYPE_distribution,,"{0: 75.4, 1: 24.6}",,,,,,,,
READER_TYPE_overall,,0.246±0.43 (0.00-1.00),,,,,,,,
READER_TYPE_per_item,,0.232±0.11 (0.00-0.45),,,,,,,,
READER_TYPE_per_participant,,0.333±0.48 (0.00-1.00),,,,,,,,
REREAD_col,repeated_reading_trial,,,,,,,,,
REREAD_distribution,"{0: 83.3, 1: 16.7}",,,,,,,,,
REREAD_overall,0.167±0.37 (0.00-1.00),,,,,,,,,
REREAD_per_item,0.167±0.00 (0.17-0.17),,,,,,,,,
REREAD_per_participant,0.166±0.02 (0.13-0.21),,,,,,,,,
STD_col,,,,,,,difficulty,,,
STD_distribution,,,,,,,"{1.0: 55.8, 2.0: 29.7, 0.0: 10.5, 3.0: 3.9}",,,
STD_overall,,,,,,,1.271±0.70 (0.00-3.00),,,
STD_per_item,,,,,,,1.271±0.35 (0.81-1.65),,,
STD_per_participant,,,,,,,1.271±0.42 (0.00-2.25),,,
TD_col,difficulty_level,,,,,,difficulty,,,
TD_distribution,"{0: 50.0, 1: 50.0}",,,,,,"{1.0: 55.8, 2.0: 29.7, 0.0: 10.5, 3.0: 3.9}",,,
TD_overall,0.500±0.50 (0.00-1.00),,,,,,1.271±0.70 (0.00-3.00),,,
TD_per_item,0.500±0.50 (0.00-1.00),,,,,,1.271±0.35 (0.81-1.65),,,
TD_per_participant,0.500±0.01 (0.46-0.54),,,,,,1.271±0.42 (0.00-2.25),,,
TOE_LR_col,,,,,,,,,toefl_lr,
TOE_LR_overall,,,,,,,,,5.826±17.97 (-1.00-60.00),
TOE_LR_per_item,,,,,,,,,6.189±3.27 (-1.00-8.19),
TOE_LR_per_participant,,,,,,,,,5.862±18.07 (-1.00-60.00),
TOE_L_col,,,,,,,,,listening,
TOE_L_overall,,,,,,,,,2.503±9.23 (-1.00-30.00),
TOE_L_per_item,,,,,,,,,2.689±1.67 (-1.00-3.79),
TOE_L_per_participant,,,,,,,,,2.520±9.28 (-1.00-30.00),
TOE_R_col,,,,,,,,,reading,
TOE_R_overall,,,,,,,,,2.450±9.10 (-1.00-30.00),
TOE_R_per_item,,,,,,,,,2.635±1.67 (-1.00-3.81),
TOE_R_per_participant,,,,,,,,,2.470±9.16 (-1.00-30.00),
TOE_S_col,,,,,,,,,speaking,
TOE_S_distribution,,,,,,,,,"{-1.0: 89.3, 24.0: 2.0, 22.70994: 1.4, 19.46567: 0.7, 20.2588: 0.7, 23.63527: 0.7, 25.0: 0.7, 21.0: 0.7, 17.5: 0.7, 26.5: 0.7, 30.0: 0.7, 23.0: 0.7, 20.0: 0.7, 21.94703: 0.6}",
TOE_S_overall,,,,,,,,,1.564±7.45 (-1.00-30.00),
TOE_S_per_item,,,,,,,,,1.781±1.52 (-1.00-3.18),
TOE_S_per_participant,,,,,,,,,1.579±7.49 (-1.00-30.00),
TOE_W_col,,,,,,,,,writing,
TOE_W_distribution,,,,,,,,,"{-1.0: 89.3, 21.08781: 2.0, 23.0: 1.4, 21.94703: 1.3, 23.63527: 0.7, 25.0: 0.7, 17.5: 0.7, 26.5: 0.7, 27.0: 0.7, 22.0: 0.7, 24.0: 0.7, 30.0: 0.7, 28.0: 0.7}",
TOE_W_overall,,,,,,,,,1.639±7.67 (-1.00-30.00),
TOE_W_per_item,,,,,,,,,1.869±1.63 (-1.00-3.69),
TOE_W_per_participant,,,,,,,,,1.654±7.71 (-1.00-30.00),
TOE_col,,,,,,,,,converted_toefl_score,
TOE_distribution,,,,,,,,,"{-1.0: 87.2, 90.83978: 2.0, 101.294: 2.0, 100.0: 1.4, 106.64447: 0.7, 92.0: 0.7, 70.0: 0.7, 106.0: 0.7, 112.0: 0.7, 105.0: 0.7, 103.0: 0.7, 109.94302: 0.7, 120.0: 0.7, 118.71846: 0.7, 101.0: 0.7}",
TOE_overall,,,,,,,,,12.039±34.31 (-1.00-120.00),
TOE_per_item,,,,,,,,,12.722±6.24 (-1.00-16.62),
TOE_per_participant,,,,,,,,,12.106±34.49 (-1.00-120.00),
TRC_col,is_correct,,,,,TRC,TRC,,,
TRC_distribution,"{1: 81.2, 0: 18.8}",,,,,"{1.0: 64.8, 0.0: 35.2}","{1: 56.3, 0: 43.7}",,,
TRC_overall,0.812±0.39 (0.00-1.00),,,,,0.648±0.48 (0.00-1.00),0.563±0.50 (0.00-1.00),,,
TRC_per_item,0.812±0.12 (0.33-1.00),,,,,0.647±0.13 (0.37-0.86),0.563±0.04 (0.51-0.61),,,
TRC_per_participant,0.812±0.09 (0.48-0.98),,,,,0.648±0.13 (0.36-0.91),0.563±0.15 (0.15-0.85),,,
TYP_col,,dyslexia,,,,,,,,
TYP_distribution,,"{0: 75.4, 1: 24.6}",,,,,,,,
TYP_overall,,0.246±0.43 (0.00-1.00),,,,,,,,
TYP_per_item,,0.232±0.11 (0.00-0.45),,,,,,,,
TYP_per_participant,,0.333±0.48 (0.00-1.00),,,,,,,,
n_fix,1114034,397883,1208284,1200876,163910,1211325,1315160,2409160,1523218,1622675
n_fix_per_item,3438.4±996 (1542-6401),880.3±437 (59-2953),100690.3±17831 (67026-120991),183.5±79 (14-801),327.8±143 (84-999),100943.8±12809 (82185-125649),328790.0±33945 (294505-368330),200763.3±35051 (135246-240746),4701.3±1325 (2146-8707),135222.9±14837 (110329-153115)
n_fix_per_participant,6189.1±1856 (2450-14429),6980.4±2632 (990-15044),2254.3±679 (888-5262),2136.8±775 (820-7088),32782.0±10841 (22874-48798),16151.0±4809 (5631-30624),13843.8±3046 (6350-22070),2194.1±732 (820-7088),10292.0±3528 (4539-23348),2241.3±822 (717-6130)
n_fix_per_trial,114.6±54 (22-814),83.2±48 (1-483),188.0±71 (4-655),183.5±79 (14-801),65.6±44 (9-556),454.7±183 (44-1482),692.2±193 (56-1188),185.7±75 (4-801),190.7±97 (17-889),227.2±77 (4-684)
n_items,324,452,12,4770,500,12,4,12,324,12
n_participants,180,57,536,562,5,75,95,1098,148,724
n_trials,9718,4782,4723,4770,2500,2664,1900,9493,7986,6418
n_words,1055203,335597,654943,658820,267605,420501,1231120,1313763,863389,332997
n_words_corpus,19428,32140,???,???,53521,1895,2628,1645,???,???
n_words_per_item,3256.8±846 (1500-4950),742.5±366 (27-2160),54578.6±9488 (41846-70873),138.1±26 (98-187),535.2±79 (330-745),35041.8±3399 (28350-39600),307780.0±27814 (279945-345430),109480.2±20379 (80556-146946),2664.8±784 (1064-4936),27749.8±3323 (23252-32463)
n_words_per_participant,5862.2±197 (5595-6175),5887.7±2537 (1161-13132),1221.9±339 (593-2742),1172.3±321 (560-1658),53521.0±0 (53521-53521),5606.7±336 (3324-5685),12959.2±492 (10525-13140),1196.5±331 (560-2742),5833.7±193 (5237-6175),459.9±653 (30-2412)
text_domain,News,News,,,,Science Education,Education,,News,
text_language,English,Danish,English,English,English,German,English,English,English,English
text_source,Guardian Articles,Danish Natural Reading Corpus,,,,German Physics & Biology Textbooks,SAT Reading Passages,,Guardian Articles,
text_type,paragraph,paragraph,,,,paragraph,paragraph,,paragraph,
